# x_m,y_m
0.758259,-0.020506
0.316397,-4.997121
-0.274058,-9.958268
-1.025410,-14.897573
-1.949824,-19.807393
-3.059306,-24.678687
-4.365630,-29.500875
-5.879060,-34.262082
-7.605505,-38.950216
-9.549491,-43.552392
-11.714914,-48.054592
-14.104512,-52.441886
-16.719528,-56.698579
-19.560401,-60.807914
-22.624314,-64.753755
-25.904635,-68.521590
-29.393101,-72.097576
-33.079013,-75.469702
-36.947781,-78.630393
-40.983918,-81.574370
-45.172499,-84.297079
-49.499245,-86.794387
-53.950431,-89.062428
-58.512725,-91.097593
-63.172990,-92.897007
-67.917867,-94.459003
-72.731688,-95.791094
-77.594432,-96.934209
-82.487136,-97.952433
-87.398517,-98.884204
-92.318671,-99.757360
-97.247174,-100.607201
-102.161480,-101.467163
-107.066976,-102.395763
-111.982808,-103.425929
-116.802767,-104.540733
-121.642187,-105.791489
-126.574623,-106.922125
-131.492020,-107.650056
-136.474439,-107.827688
-141.446507,-107.288821
-146.268445,-106.060975
-150.898594,-104.235933
-155.244919,-101.785180
-159.193499,-98.722837
-162.518206,-95.002489
-165.422901,-90.921411
-168.090074,-86.690394
-170.947313,-82.597575
-173.892959,-78.564597
-176.884776,-74.568829
-179.918352,-70.599435
-182.981220,-66.649541
-186.065220,-62.715693
-189.161695,-58.792118
-192.259619,-54.872414
-195.322950,-50.926938
-198.284942,-46.904551
-201.080816,-42.764673
-203.682163,-38.499557
-206.082723,-34.118181
-208.280153,-29.631459
-210.272369,-25.049901
-212.057427,-20.383714
-213.633649,-15.642906
-214.999916,-10.837374
-216.155495,-5.976838
-217.099160,-1.070733
-217.828860,3.871724
-218.342289,8.841306
-218.637265,13.828674
-218.711470,18.824151
-218.562824,23.817805
-218.192727,28.800048
-217.606780,33.761694
-216.811384,38.694058
-215.812398,43.589299
-214.615722,48.440079
-213.226840,53.239244
-211.647963,57.979260
-209.877539,62.651010
-207.912539,67.244335
-205.753179,71.749877
-203.402208,76.158225
-200.861708,80.459943
-198.130006,84.643053
-195.203726,88.692186
-192.079818,92.590817
-188.755793,96.320662
-185.229987,99.859840
-181.504417,103.187842
-177.592295,106.294255
-173.505038,109.165396
-169.242870,111.770502
-164.817637,114.086802
-160.277522,116.167258
-155.683607,118.133023
-151.079739,120.077898
-146.509825,122.096815
-142.040123,124.332180
-137.774569,126.934823
-133.845612,130.018981
-130.400805,133.632380
-127.586608,137.745084
-125.541799,142.294171
-124.296719,147.128824
-123.775709,152.094573
-123.889900,157.086864
-124.558834,162.036011
-125.705553,166.897251
-127.258196,171.644976
-129.149972,176.268574
-131.320415,180.768556
-133.717685,185.152204
-136.295095,189.432165
-139.004312,193.629694
-141.780838,197.783398
-144.555105,201.938630
-147.258226,206.140333
-149.818977,210.430016
-152.162195,214.842059
-154.270577,219.371362
-156.189002,223.984394
-157.950385,228.659664
-159.571230,233.385605
-161.057948,238.155496
-162.418377,242.962953
-163.660619,247.802314
-164.793108,252.668547
-165.824478,257.557226
-166.763462,262.464504
-167.618768,267.387072
-168.398582,272.322179
-169.109323,277.267713
-169.756230,282.221984
-170.349063,287.183009
-170.907299,292.148071
-171.451364,297.114721
-171.992220,302.081721
-172.532649,307.048768
-173.072911,312.015834
-173.613007,316.982917
-174.152937,321.950019
-174.692701,326.917138
-175.232299,331.884276
-175.771730,336.851431
-176.310996,341.818605
-176.850097,346.785797
-177.389031,351.753006
-177.927799,356.720234
-178.466402,361.687480
-179.004838,366.654743
-179.543110,371.622025
-180.081215,376.589324
-180.619155,381.556642
-181.156929,386.523977
-181.694537,391.491330
-182.231980,396.458702
-182.769257,401.426091
-183.306369,406.393498
-183.843315,411.360923
-184.380096,416.328366
-184.916711,421.295826
-185.453161,426.263305
-185.989446,431.230801
-186.525565,436.198315
-187.061519,441.165847
-187.597307,446.133397
-188.132931,451.100965
-188.668389,456.068551
-189.203682,461.036154
-189.738809,466.003775
-190.273772,470.971414
-190.808569,475.939071
-191.343201,480.906746
-191.877668,485.874438
-192.411970,490.842148
-192.946107,495.809876
-193.480079,500.777621
-194.013885,505.745384
-194.547527,510.713165
-195.080999,515.680965
-195.614282,520.648784
-196.147352,525.616627
-196.680188,530.584494
-197.212767,535.552389
-197.745066,540.520314
-198.277063,545.488272
-198.808736,550.456264
-199.340062,555.424293
-199.871018,560.392362
-200.401583,565.360472
-200.931733,570.328627
-201.461446,575.296829
-201.990699,580.265079
-202.519471,585.233381
-203.047738,590.201736
-203.575477,595.170148
-204.102668,600.138617
-204.629285,605.107148
-205.155309,610.075741
-205.680714,615.044400
-206.205481,620.013127
-206.729582,624.981923
-207.253030,629.950788
-207.775978,634.919706
-208.298645,639.888654
-208.821249,644.857608
-209.344007,649.826546
-209.867135,654.795446
-210.390850,659.764283
-210.914841,664.733091
-211.434344,669.702369
-211.933625,674.673710
-212.390721,679.649081
-212.787290,684.629633
-213.115429,689.615174
-213.369594,694.605037
-213.543437,699.598339
-213.630159,704.593905
-213.622793,709.590203
-213.514275,714.585302
-213.297504,719.576842
-212.965420,724.562001
-212.511099,729.537509
-211.927810,734.499585
-211.209451,739.443804
-210.348523,744.365042
-209.324862,749.255009
-208.103164,754.099359
-206.652558,758.879901
-205.011370,763.599050
-203.258687,768.277787
-201.452681,772.936290
-199.636509,777.591031
-197.842649,782.254447
-196.109843,786.940794
-194.486071,791.665863
-193.026181,796.444011
-191.781536,801.282596
-190.788408,806.178538
-190.084884,811.123843
-189.721466,816.105646
-189.733681,821.100696
-190.133544,826.079740
-190.928866,831.010959
-192.127869,835.859756
-193.726746,840.592120
-195.698959,845.181458
-198.007258,849.610401
-200.600328,853.879171
-203.421621,858.002159
-206.428067,861.992780
-209.580397,865.869473
-212.841959,869.654864
-216.177558,873.375228
-219.550979,877.061405
-222.924862,880.746996
-226.262097,884.466004
-229.523993,888.251306
-232.668607,892.133606
-235.661648,896.132790
-238.487581,900.251327
-241.138549,904.485237
-243.609511,908.827266
-245.899749,913.267454
-248.009820,917.796030
-249.944039,922.402565
-251.709127,927.076593
-253.312355,931.808599
-254.761608,936.590107
-256.065227,941.413349
-257.229524,946.272182
-258.257161,951.161860
-259.149682,956.077925
-259.908753,961.016259
-260.531516,965.973184
-260.994798,970.946838
-261.257375,975.935896
-261.288633,980.932909
-261.066703,985.925211
-260.568116,990.897467
-259.769978,995.828529
-258.646671,1000.694839
-257.158903,1005.465698
-255.262705,1010.085930
-252.915566,1014.487187
-250.099194,1018.607151
-246.830759,1022.383225
-243.161187,1025.771673
-239.157761,1028.759313
-234.888169,1031.352148
-230.410271,1033.566213
-225.773150,1035.424359
-221.017424,1036.954510
-216.173252,1038.177281
-211.263712,1039.101496
-206.309318,1039.742210
-201.327547,1040.118261
-196.332968,1040.237520
-191.338803,1040.103666
-186.357492,1039.721104
-181.400825,1039.095492
-176.479916,1038.232517
-171.605314,1037.137769
-166.787158,1035.816699
-162.034981,1034.275063
-157.357221,1032.520326
-152.761392,1030.560970
-148.254366,1028.405225
-143.842423,1026.061033
-139.531377,1023.536099
-135.326636,1020.837912
-131.233110,1017.973900
-127.255398,1014.951157
-123.398269,1011.776024
-119.666609,1008.454585
-116.064632,1004.993197
-112.595213,1001.398719
-109.260755,997.678309
-106.063599,993.839111
-103.005140,989.888430
-100.085912,985.833715
-97.305433,981.682644
-94.659082,977.444832
-92.138469,973.131065
-89.734995,968.750934
-87.439583,964.313215
-85.242830,959.825842
-83.136110,955.295447
-81.113256,950.726924
-79.169167,946.124305
-77.298309,941.491412
-75.495130,936.831742
-73.753970,932.148534
-72.069111,927.444771
-70.434795,922.723201
-68.845382,917.986317
-67.295878,913.236319
-65.781377,908.475181
-64.292966,903.705768
-62.817132,898.932351
-61.344153,894.158050
-59.871307,889.383708
-58.398310,884.609412
-56.925154,879.835165
-55.451842,875.060966
-53.978374,870.286815
-52.504754,865.512712
-51.030982,860.738655
-49.557061,855.964644
-48.082994,851.190679
-46.608781,846.416758
-45.134425,841.642882
-43.659927,836.869049
-42.185291,832.095259
-40.710517,827.321512
-39.235607,822.547807
-37.760564,817.774142
-36.285390,813.000519
-34.810086,808.226935
-33.334655,803.453391
-31.859098,798.679886
-30.383416,793.906419
-28.907611,789.132990
-27.431679,784.359601
-25.955617,779.586252
-24.479424,774.812943
-23.003097,770.039676
-21.526633,765.266451
-20.050030,760.493269
-18.573285,755.720131
-17.096397,750.947038
-15.619362,746.173989
-14.142178,741.400987
-12.664843,736.628032
-11.187354,731.855124
-9.709709,727.082265
-8.231906,722.309454
-6.753941,717.536694
-5.275813,712.763984
-3.797519,707.991326
-2.319056,703.218719
-0.840422,698.446166
0.638384,693.673667
2.117367,688.901222
3.596528,684.128832
5.075869,679.356498
6.555394,674.584221
8.035104,669.812001
9.515002,665.039840
10.995090,660.267738
12.475372,655.495695
13.955848,650.723713
15.436523,645.951793
16.917398,641.179935
18.398475,636.408139
19.879758,631.636408
21.361248,626.864740
22.842948,622.093138
24.324860,617.321602
25.806988,612.550133
27.289333,607.778731
28.771897,603.007397
30.254684,598.236133
31.737696,593.464938
33.220934,588.693814
34.704403,583.922762
36.188103,579.151781
37.672038,574.380873
39.156211,569.610040
40.640632,564.839284
42.125310,560.068607
43.610254,555.298014
45.095475,550.527507
46.580980,545.757088
48.066781,540.986761
49.552886,536.216529
51.039305,531.446395
52.526048,526.676361
54.013123,521.906432
55.500541,517.136609
56.988310,512.366896
58.476441,507.597295
59.964942,502.827810
61.453823,498.058444
62.943095,493.289200
64.432765,488.520080
65.922844,483.751088
67.413341,478.982226
68.904262,474.213502
70.395542,469.444902
71.886893,464.676318
73.377635,459.907807
74.862621,455.138281
76.312089,450.357998
77.652110,445.545205
78.777346,440.677572
79.572040,435.745577
79.911964,430.762267
79.657935,425.774914
78.669324,420.880351
76.831944,416.238460
74.068924,412.077983
70.380531,408.726625
65.903403,406.584085
60.979602,405.940511
56.096052,406.917426
51.775842,409.372207
48.294132,412.920876
45.650162,417.157932
43.805370,421.804373
42.651906,426.665180
42.029271,431.624132
41.758259,436.614540
41.668899,441.609264
41.605655,446.603600
41.474975,451.597397
41.255248,456.588775
40.947511,461.575576
40.555463,466.556447
40.083376,471.530372
39.535977,476.496572
38.918021,481.454490
38.234171,486.403747
37.489202,491.344150
36.687085,496.275607
35.830343,501.197919
34.921001,506.110813
33.961137,511.014097
32.952827,515.907659
31.898143,520.791448
30.799155,525.665466
29.657921,530.529772
28.476485,535.384475
27.256877,540.229733
26.001103,545.065749
24.711156,549.892764
23.388797,554.711004
22.035317,559.520598
20.651501,564.321507
19.238298,569.113775
17.799025,573.898287
16.339331,578.676650
14.865456,583.450668
13.383367,588.222146
11.897651,592.992499
10.410329,597.762351
8.921801,602.531828
7.432174,607.300962
5.941548,612.069783
4.450025,616.838324
2.957704,621.606615
1.464689,626.374689
-0.028922,631.142577
-1.523027,635.910309
-3.017525,640.677918
-4.512315,645.445436
-6.007297,650.212894
-7.502369,654.980323
-8.997431,659.747755
-10.492378,664.515224
-11.987097,669.282764
-13.481474,674.050411
-14.975396,678.818200
-16.468749,683.586168
-17.961419,688.354350
-19.453292,693.122781
-20.944255,697.891497
-22.434193,702.660533
-23.922992,707.429925
-25.410540,712.199707
-26.896720,716.969915
-28.381421,721.740585
-29.864527,726.511749
-31.345925,731.283445
-32.825501,736.055706
-34.303141,740.828567
-35.778729,745.602062
-37.252154,750.376225
-38.723299,755.151092
-40.192052,759.926695
-41.658294,764.703068
-43.121921,769.480242
-44.582771,774.258266
-46.040566,779.037225
-47.494980,783.817214
-48.945691,788.598330
-50.392372,793.380664
-51.834703,798.164317
-53.272356,802.949364
-54.705225,807.735888
-56.136838,812.522384
-57.588664,817.302370
-59.107304,822.062067
-60.746190,826.782178
-62.559087,831.438128
-64.601087,835.997982
-66.924383,840.420769
-69.576303,844.654621
-72.594112,848.634362
-76.008198,852.280004
-79.835971,855.489732
-84.077200,858.125405
-88.682945,860.047267
-93.546463,861.145263
-98.529222,861.240300
-103.379207,860.094993
-107.700438,857.631640
-111.218866,854.106390
-113.845126,849.865594
-115.619309,845.200825
-116.607911,840.306270
-116.836097,835.319789
-116.361748,830.350443
-115.313959,825.465532
-113.819463,820.698313
-111.985076,816.052503
-109.898286,811.513436
-107.639152,807.057095
-105.285068,802.650063
-102.908330,798.255286
-100.559255,793.846102
-98.250060,789.415744
-95.981502,784.964151
-93.754194,780.491745
-91.568330,775.998931
-89.424178,771.486052
-87.321650,766.953634
-85.259688,762.402611
-83.236745,757.834111
-81.251260,753.249211
-79.301667,748.648933
-77.386389,744.034260
-75.503842,739.406138
-73.652431,734.765469
-71.830551,730.113129
-70.036573,725.449957
-68.268870,720.776752
-66.525755,716.094330
-64.805998,711.403278
-63.109034,706.703917
-61.434469,701.996527
-59.781881,697.281379
-58.150850,692.558729
-56.540962,687.828828
-54.951806,683.091921
-53.383001,678.348236
-51.834437,673.597904
-50.306334,668.840961
-48.798682,664.077516
-47.309890,659.308140
-45.837006,654.533816
-44.376723,649.755619
-42.925710,644.974598
-41.480693,640.191759
-40.038947,635.407933
-38.599299,630.623475
-37.161582,625.838439
-35.725819,621.052822
-34.292104,616.266590
-32.861302,611.479481
-31.434741,606.691106
-30.013806,601.901058
-28.599888,597.108935
-27.194378,592.314339
-25.798668,587.516883
-24.414154,582.716183
-23.042236,577.911869
-21.684314,573.103582
-20.341795,568.290971
-19.016084,563.473707
-17.708598,558.651461
-16.420744,553.823929
-15.153948,548.990832
-13.910444,544.151684
-12.693345,539.305828
-11.505929,534.452621
-10.351441,529.591477
-9.233185,524.721885
-8.154474,519.843398
-7.117297,514.955911
-6.122109,510.059685
-5.169064,505.155075
-4.258419,500.242410
-3.390341,495.322040
-2.565216,490.394289
-1.784188,485.459359
-1.048897,480.517414
-0.361018,475.568651
0.277784,470.613315
0.865826,465.651700
1.401415,460.684151
1.882848,455.711063
2.308407,450.732879
2.676375,445.750127
2.985004,440.763328
3.231598,435.773086
3.403118,430.779865
3.453581,425.784330
3.320761,420.790267
2.958223,415.806800
2.330655,410.849709
1.400770,405.941137
0.123548,401.111386
-1.549731,396.404792
-3.665063,391.880813
-6.260275,387.612507
-9.349494,383.693400
-12.874816,380.163372
-16.700552,376.949874
-20.703201,373.959899
-24.729808,370.994434
-28.612483,367.845653
-32.128179,364.306294
-35.116882,360.309870
-37.514389,355.931063
-39.324089,351.277474
-40.604457,346.450214
-41.430722,341.524015
-41.876479,336.548180
-41.996478,331.553663
-41.842509,326.560120
-41.468428,321.578221
-40.950035,316.609001
-40.375237,311.645820
-39.777360,306.685364
-39.160859,301.727187
-38.526496,296.771263
-37.875032,291.817558
-37.207229,286.866029
-36.523845,281.916626
-35.825640,276.969292
-35.113370,272.023963
-34.387794,267.080569
-33.649667,262.139033
-32.899744,257.199274
-32.138780,252.261203
-31.367529,247.324728
-30.586744,242.389752
-29.797177,237.456173
-28.999580,232.523886
-28.194705,227.592782
-27.383305,222.662746
-26.566141,217.733663
-25.743972,212.805412
-24.917559,207.877871
-24.087662,202.950916
-23.255041,198.024420
-22.420455,193.098256
-21.584664,188.172297
-20.748426,183.246414
-19.912502,178.320477
-19.077649,173.394359
-18.244628,168.467931
-17.414198,163.541065
-16.587118,158.613636
-15.764148,153.685519
-14.946048,148.756591
-14.133578,143.826732
-13.327500,138.895824
-12.528573,133.963752
-11.737560,129.030405
-10.955223,124.095674
-10.182324,119.159457
-9.419628,114.221654
-8.667884,109.282171
-7.927779,104.340931
-7.199974,99.397864
-6.485132,94.452906
-5.783914,89.505998
-5.096986,84.557086
-4.425010,79.606121
-3.768653,74.653062
-3.128580,69.697872
-2.505654,64.740501
-1.902293,59.780718
-1.324562,54.817883
-0.780897,49.851198
-0.280269,44.879997
0.168207,39.903828
0.555261,34.922516
0.871563,29.936222
1.107748,24.945505
1.254423,19.951370
1.302184,14.955326
1.241638,9.959438
1.063425,4.966382
